10-10-2023 10:30:21.365 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 32852 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:30:21.374 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:30:37.595 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 17.445 seconds (process running for 18.993)
10-10-2023 10:30:54.869 [http-nio-8080-exec-2] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
10-10-2023 10:36:19.594 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 13072 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:36:19.601 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:36:34.916 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 16.486 seconds (process running for 17.995)
10-10-2023 10:36:50.317 [http-nio-8080-exec-2] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
10-10-2023 10:38:06.299 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 19484 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:38:06.305 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:38:21.301 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 16.121 seconds (process running for 17.628)
10-10-2023 10:40:23.296 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 32704 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:40:23.303 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:40:38.274 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 16.187 seconds (process running for 17.664)
10-10-2023 10:43:03.872 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 15296 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:43:03.879 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:43:19.328 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 16.654 seconds (process running for 18.134)
10-10-2023 10:46:43.355 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 24028 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 10:46:43.369 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 10:46:59.900 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 17.774 seconds (process running for 19.252)
10-10-2023 11:00:10.512 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 26996 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 11:00:10.519 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 11:00:26.614 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 17.293 seconds (process running for 18.784)
10-10-2023 11:01:02.653 [http-nio-8080-exec-4] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
10-10-2023 11:49:36.492 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 10536 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 11:49:36.500 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 11:49:58.052 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 22.79 seconds (process running for 24.28)
10-10-2023 11:50:06.862 [http-nio-8080-exec-1] INFO  c.m.b.controller.AuthController.welcome - Inside Hello World welcome Function
10-10-2023 12:20:29.383 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 7796 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 12:20:29.389 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 12:20:43.627 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 14.984 seconds (process running for 16.071)
10-10-2023 15:00:52.447 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 34660 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 15:00:52.456 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 15:02:40.355 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 19552 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 15:02:40.365 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 15:03:01.051 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 21.956 seconds (process running for 23.489)
10-10-2023 15:07:43.720 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 32432 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 15:07:43.730 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 15:08:04.758 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 22.359 seconds (process running for 23.899)
10-10-2023 15:10:20.733 [restartedMain] INFO  com.movie.booking.UserApplication.logStarting - Starting UserApplication using Java 17.0.7 with PID 15964 (C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User\User\target\classes started by PavanTejan in C:\Users\PavanTejan\Documents\_movie_booking_app\_Movie1\movie-booking\User)
10-10-2023 15:10:20.742 [restartedMain] INFO  com.movie.booking.UserApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
10-10-2023 15:10:42.514 [restartedMain] INFO  com.movie.booking.UserApplication.logStarted - Started UserApplication in 23.079 seconds (process running for 24.607)
